bid_id,nama_pembeli,kontak_pembeli,iklan_id,tanggal_penawaran,harga_penawaran,status_penawaran
1,"Tgk. Kenes Uwais, S.Psi",+62 (0964) 197-4117,1,2022-07-06,207338137,sent
2,Ina Prastuti,+62 (0074) 578-2932,39,2022-04-22,290214698,sent
3,Balijan Astuti,0852180928,49,2022-12-29,255566891,sent
4,"Cut Hesti Nasyidah, S.Ked",(079) 050 9762,36,2022-05-30,213837134,sent
5,"Hj. Shakila Wijayanti, S.Ked",+62 (93) 203 2492,23,2022-12-15,215482175,sent
6,"R.A. Eva Wibisono, M.Ak",0872652784,25,2022-09-12,169886561,sent
7,Salsabila Sinaga,(0961) 142-1266,19,2022-11-29,170054306,sent
8,Maya Prasetya,(0796) 324-3273,44,2022-12-31,216202905,sent
9,Harjasa Kurniawan,+62 (09) 624-7259,41,2023-01-09,255162409,sent
10,"R. Anastasia Saragih, M.TI.",+62-14-925-8462,32,2022-06-21,289651937,sent
11,Kanda Nababan,+62-595-162-1663,9,2022-09-23,246556946,sent
12,Kenzie Situmorang,+62-092-458-8321,6,2023-01-06,274438064,sent
13,R. Michelle Wijaya,+62 (07) 299-9815,4,2022-03-06,228358810,sent
14,"R. Danuja Firmansyah, S.T.",+62 (509) 480 2749,7,2022-03-23,154539256,sent
15,Clara Laksmiwati,+62 (085) 444-0904,40,2022-06-23,259085102,sent
16,"R. Kezia Fujiati, M.M.",0818184207,17,2022-09-09,180957516,sent
17,Ir. Faizah Laksita,(085) 161-5287,9,2022-03-27,188145166,sent
18,Chelsea Uyainah,+62 (033) 180 5620,3,2022-12-03,196770671,sent
19,Amalia Lestari,+62 (208) 106-1182,39,2022-12-24,285393902,sent
20,Balidin Uyainah,+62 (67) 333-3958,18,2022-02-27,249691426,sent
21,"drg. Ismail Hutasoit, S.Pd",+62 (42) 962 9571,38,2022-12-11,186492611,sent
22,Kairav Prayoga,(0502) 073-2890,19,2022-08-04,159306837,sent
23,"Shakila Prabowo, M.M.",+62 (211) 113-7836,23,2023-01-24,219913451,sent
24,Baktiono Anggriawan,(0646) 018 3632,23,2022-08-16,195095061,sent
25,"H. Dasa Winarno, S.E.",+62-036-596-1914,1,2022-06-26,163197572,sent
26,Daru Waskita,(094) 434 2156,16,2022-02-07,231476232,sent
27,Damu Wahyuni,+62 (29) 697 5712,24,2022-06-25,216984586,sent
28,R. Cici Wibowo,+62-003-855-6950,12,2022-08-20,260444565,sent
29,"Rahayu Waskita, S.Pd",+62-093-301-9051,37,2022-08-29,200440075,sent
30,Lantar Purnawati,(042) 207 6245,49,2022-10-17,256514528,sent
