penjual_id,nama,kontak,kota_id,nama_kota,latitude,longitude
1,Hafshah Yulianti,+62 (065) 804 2269,1371,Kota Padang,-0.95,100.3530556
5,"Tgk. Maimunah Siregar, S.Ked",+62-0290-465-0139,1371,Kota Padang,-0.95,100.3530556
9,Tari Budiman,+62 (0526) 838 3003,1371,Kota Padang,-0.95,100.3530556
14,"Rangga Oktaviani, M.Farm",(0742) 692-6988,1371,Kota Padang,-0.95,100.3530556
2,"Novi Laksita, S.IP",+62 (877) 860 2015,3174,Kota Jakarta Selatan,-6.300641,106.814095
3,Surya Wahyuni,+62-061-335-5426,3172,Kota Jakarta Utara,-6.121435,106.774124
4,Sutan Usman Pratama,(079) 665-5969,3273,Kota Bandung,-6.9147444,107.6098111
10,Alika Sihombing,(0473) 758 5789,3273,Kota Bandung,-6.9147444,107.6098111
15,"Yulia Kusumo, S.I.Kom",0899238268,3273,Kota Bandung,-6.9147444,107.6098111
6,Gangsa Kurniawan,086 742 0944,7371,Kota Makassar,-5.1333333,119.4166667
7,"Elisa Wibisono, S.Ked",+62-65-532-3531,6471,Kota Balikpapan,-1.2635389,116.8278833
8,"Puti Eka Anggraini, S.E.",+62-0445-510-7183,3578,Kota Surabaya,-7.289166,112.734398
11,"dr. Kurnia Lailasari, M.Pd",(012) 811-1910,5171,Kota Denpasar,-8.65629,115.222099
13,"dr. Asmuni Waskita, S.I.Kom",+62 (090) 367 1527,5171,Kota Denpasar,-8.65629,115.222099
12,Puti Namaga,+62 (0709) 846 6629,6472,Kota Samarinda,-0.502183,117.153801
